None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
60,59,30,27,27,27,27,-1,-1,-1,27
47,45,36,23,23,27,27,-1,-1,-1,23
22,18,18,18,18,18,18,-1,-1,-1,18
39,38,25,25,25,25,25,-1,-1,-1,25
29,24,21,19,19,20,19,-1,-1,-1,19
35,36,30,23,24,23,23,-1,-1,-1,23
57,29,20,20,20,20,20,-1,-1,-1,20
24,22,20,20,20,20,20,-1,-1,-1,20
47,22,22,22,22,22,22,-1,-1,-1,22
34,24,20,20,20,20,20,-1,-1,-1,20
28,27,18,18,18,18,18,-1,-1,-1,18
30,18,20,20,20,20,20,-1,-1,-1,18
-1,51,46,46,46,46,46,-1,-1,-1,46
48,32,30,26,26,26,26,-1,-1,-1,26
31,30,31,30,30,30,30,-1,-1,-1,28
28,21,20,19,19,19,19,-1,-1,-1,19
24,20,19,19,19,19,19,-1,-1,-1,19
36,34,33,25,25,26,25,-1,-1,-1,25
21,19,19,19,19,19,19,-1,-1,-1,19
42,36,32,29,29,29,29,-1,-1,-1,29
44,38,33,33,33,33,33,-1,-1,-1,33
32,23,23,23,23,23,23,-1,-1,-1,23
35,31,21,21,21,21,21,-1,-1,-1,21
53,55,52,36,36,37,37,-1,-1,-1,36
31,29,24,24,24,24,24,-1,-1,-1,24
28,27,23,21,22,21,21,-1,-1,-1,21
41,33,26,24,26,24,24,-1,-1,-1,22
48,36,21,21,21,21,21,-1,-1,-1,21
27,24,18,18,18,18,18,-1,-1,-1,18
30,25,24,22,23,22,22,-1,-1,-1,22
31,27,24,19,20,19,19,-1,-1,-1,19
28,24,21,21,21,22,22,-1,-1,-1,19
41,24,18,18,18,18,18,-1,-1,-1,18
51,41,37,33,33,38,38,-1,-1,-1,32
27,18,18,18,18,18,18,-1,-1,-1,18
43,34,38,36,38,36,36,-1,-1,-1,29
44,31,26,26,26,26,26,-1,-1,-1,26
28,28,21,19,20,19,19,-1,-1,-1,19
42,40,28,25,26,25,25,-1,-1,-1,25
26,20,18,18,18,18,18,-1,-1,-1,18
31,30,24,24,24,24,24,-1,-1,-1,24
45,36,34,34,34,34,34,-1,-1,-1,34
27,25,21,21,21,21,21,-1,-1,-1,21
27,27,23,23,23,23,23,-1,-1,-1,21
33,22,21,21,21,21,21,-1,-1,-1,21
25,20,20,20,20,20,20,-1,-1,-1,20
42,38,31,26,29,26,26,-1,-1,-1,24
36,32,27,26,27,26,26,-1,-1,-1,24
27,24,24,24,24,24,24,-1,-1,-1,24
25,20,20,20,20,20,20,-1,-1,-1,20
27,26,25,25,25,25,25,-1,-1,-1,25
28,23,21,21,21,21,21,-1,-1,-1,21
21,20,19,19,19,19,19,-1,-1,-1,19
32,23,22,22,22,22,22,-1,-1,-1,22
32,32,30,26,29,26,26,-1,-1,-1,21
40,26,25,23,23,23,23,-1,-1,-1,23
25,19,19,19,19,19,19,-1,-1,-1,19
32,28,27,25,27,25,25,-1,-1,-1,22
29,24,24,19,20,19,19,-1,-1,-1,19
51,41,47,34,37,34,34,-1,-1,-1,28
41,20,18,18,18,18,18,-1,-1,-1,18
53,41,45,30,30,31,30,-1,-1,-1,30
41,36,38,29,31,29,29,-1,-1,-1,27
53,44,35,27,35,27,27,-1,-1,-1,25
50,27,28,21,22,21,21,-1,-1,-1,21
29,27,20,20,20,20,20,-1,-1,-1,20
31,29,33,23,23,23,23,-1,-1,-1,22
37,33,30,30,30,30,30,-1,-1,-1,28
48,34,30,27,28,27,27,-1,-1,-1,27
40,27,31,24,24,25,25,-1,-1,-1,24
33,23,23,23,23,23,23,-1,-1,-1,23
34,29,19,19,19,19,19,-1,-1,-1,19
32,23,21,21,21,21,21,-1,-1,-1,21
54,27,28,22,22,22,22,-1,-1,-1,22
32,26,26,26,26,26,26,-1,-1,-1,26
51,38,35,35,35,35,35,-1,-1,-1,35
45,38,24,22,22,23,22,-1,-1,-1,22
35,35,33,28,28,28,28,-1,-1,-1,22
26,23,22,22,22,22,22,-1,-1,-1,22
30,26,20,20,20,20,20,-1,-1,-1,20
27,22,23,23,23,23,23,-1,-1,-1,22
32,24,22,22,22,22,22,-1,-1,-1,22
30,26,24,24,24,24,24,-1,-1,-1,24
32,25,25,25,25,25,25,-1,-1,-1,25
30,25,25,25,25,25,25,-1,-1,-1,25
36,40,26,19,20,19,19,-1,-1,-1,19
38,32,31,31,31,31,31,-1,-1,-1,31
38,27,27,21,27,21,21,-1,-1,-1,21
30,19,18,18,18,18,18,-1,-1,-1,18
55,46,29,27,27,27,27,-1,-1,-1,24
19,19,19,19,19,19,19,-1,-1,-1,19
29,24,18,18,18,18,18,-1,-1,-1,18
37,37,21,21,21,21,21,-1,-1,-1,21
45,38,29,26,27,26,26,-1,-1,-1,25
42,36,37,27,27,27,27,-1,-1,-1,27
38,32,30,30,30,30,30,-1,-1,-1,20
42,36,30,30,30,30,30,-1,-1,-1,30
28,25,21,21,21,21,21,-1,-1,-1,21
27,25,21,21,21,21,21,-1,-1,-1,21
46,46,33,25,25,25,25,-1,-1,-1,25
38,27,23,23,23,23,23,-1,-1,-1,20
25,24,22,22,22,22,22,-1,-1,-1,22
24,22,22,22,22,22,22,-1,-1,-1,22
32,28,28,28,28,28,28,-1,-1,-1,22
36,33,27,27,27,27,27,-1,-1,-1,27
26,19,19,19,19,19,19,-1,-1,-1,19
49,31,31,24,24,24,24,-1,-1,-1,24
27,18,18,18,18,18,18,-1,-1,-1,18
32,20,20,20,20,20,20,-1,-1,-1,20
27,23,22,22,22,22,22,-1,-1,-1,22
33,30,31,22,23,22,22,-1,-1,-1,22
45,45,34,34,34,34,34,-1,-1,-1,20
38,38,25,25,25,25,25,-1,-1,-1,25
49,30,27,27,27,28,28,-1,-1,-1,27
36,34,39,33,35,33,33,-1,-1,-1,32
54,54,28,27,27,27,27,-1,-1,-1,27
21,20,19,19,19,19,19,-1,-1,-1,19
38,31,31,31,31,31,31,-1,-1,-1,31
27,22,22,22,22,22,22,-1,-1,-1,22
49,49,21,21,21,21,21,-1,-1,-1,21
34,31,30,29,29,29,29,-1,-1,-1,29
31,30,23,23,23,23,23,-1,-1,-1,20
27,24,19,19,19,19,19,-1,-1,-1,19
27,23,22,21,22,21,21,-1,-1,-1,21
26,23,21,21,21,21,21,-1,-1,-1,21
28,27,18,18,18,18,18,-1,-1,-1,18
27,25,20,20,20,20,20,-1,-1,-1,20
45,45,41,38,38,38,38,-1,-1,-1,36
29,25,24,18,18,18,18,-1,-1,-1,18
23,21,18,18,18,18,18,-1,-1,-1,18
25,19,18,18,18,18,18,-1,-1,-1,18
39,30,23,23,23,23,23,-1,-1,-1,23
29,24,24,24,24,24,24,-1,-1,-1,24
29,22,23,23,23,23,23,-1,-1,-1,19
53,40,36,22,22,22,22,-1,-1,-1,22
38,36,30,30,30,31,31,-1,-1,-1,28
41,37,32,32,32,32,32,-1,-1,-1,28
31,23,22,21,22,21,21,-1,-1,-1,21
22,21,21,21,21,21,21,-1,-1,-1,17
37,29,24,24,24,24,24,-1,-1,-1,24
31,29,28,19,19,19,19,-1,-1,-1,19
27,27,21,18,18,18,18,-1,-1,-1,18
22,20,20,20,20,20,20,-1,-1,-1,18
30,21,19,19,19,19,19,-1,-1,-1,19
30,25,25,25,25,25,25,-1,-1,-1,24
30,25,25,25,25,25,25,-1,-1,-1,25
39,38,24,24,24,24,24,-1,-1,-1,24
23,21,21,21,21,21,21,-1,-1,-1,21
35,28,23,23,23,23,23,-1,-1,-1,23
27,23,22,22,22,22,22,-1,-1,-1,19
27,27,27,26,26,26,26,-1,-1,-1,26
23,22,17,17,17,17,17,-1,-1,-1,17
51,46,29,25,29,25,25,-1,-1,-1,25
44,34,23,23,23,23,23,-1,-1,-1,23
53,39,37,35,37,35,35,-1,-1,-1,35
29,25,22,22,22,22,22,-1,-1,-1,22
37,31,23,23,23,23,23,-1,-1,-1,20
21,17,17,17,17,17,17,-1,-1,-1,17
48,46,20,20,20,20,20,-1,-1,-1,20
35,28,28,28,28,28,28,-1,-1,-1,28
51,49,43,30,37,30,37,-1,-1,-1,30
33,36,21,21,21,21,21,-1,-1,-1,21
56,53,52,33,34,33,33,-1,-1,-1,33
45,41,27,23,23,24,23,-1,-1,-1,20
30,24,22,22,22,22,22,-1,-1,-1,22
29,27,22,21,22,21,21,-1,-1,-1,21
27,23,21,21,21,21,21,-1,-1,-1,21
29,28,23,22,22,22,22,-1,-1,-1,22
31,27,25,25,25,25,25,-1,-1,-1,25
21,18,18,18,18,18,18,-1,-1,-1,18
32,30,27,25,26,25,25,-1,-1,-1,25
25,25,23,23,23,23,23,-1,-1,-1,20
29,25,21,21,21,21,21,-1,-1,-1,21
46,41,32,32,32,32,32,-1,-1,-1,30
51,50,41,41,41,42,42,-1,-1,-1,41
27,20,19,19,19,19,19,-1,-1,-1,19
41,34,30,30,30,30,30,-1,-1,-1,24
31,32,24,23,23,24,23,-1,-1,-1,23
40,35,29,28,28,28,28,-1,-1,-1,28
26,24,23,23,24,24,24,-1,-1,-1,23
23,22,20,20,20,20,20,-1,-1,-1,20
35,20,19,19,19,19,19,-1,-1,-1,19
25,25,20,20,20,20,20,-1,-1,-1,20
37,28,27,27,27,27,27,-1,-1,-1,27
50,53,31,26,27,26,26,-1,-1,-1,26
31,28,23,23,23,23,23,-1,-1,-1,23
35,33,22,21,22,21,21,-1,-1,-1,21
