None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
0.241379,0.269231,0.280000,0.280000,0.280000,0.280000,0.280000,-1.000000,-1.000000,-1.000000,0.280000
0.314286,0.323529,0.354839,0.370370,0.354839,0.370370,0.370370,-1.000000,-1.000000,-1.000000,0.384615
0.266667,0.275862,0.333333,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.222222,0.260870,0.300000,0.300000,0.300000,0.300000,0.300000,-1.000000,-1.000000,-1.000000,0.300000
0.333333,0.354167,0.363636,0.375000,0.375000,0.375000,0.375000,-1.000000,-1.000000,-1.000000,0.375000
0.241379,0.241379,0.318182,0.318182,0.318182,0.318182,0.318182,-1.000000,-1.000000,-1.000000,0.318182
0.333333,0.344828,0.333333,0.347826,0.347826,0.347826,0.347826,-1.000000,-1.000000,-1.000000,0.347826
0.230769,0.190476,0.200000,0.200000,0.200000,0.200000,0.200000,-1.000000,-1.000000,-1.000000,0.200000
0.289474,0.303030,0.333333,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.340426,0.363636,0.375000,0.375000,0.375000,0.375000,0.375000,-1.000000,-1.000000,-1.000000,0.375000
0.357143,0.300000,0.269231,0.304348,0.304348,0.304348,0.304348,-1.000000,-1.000000,-1.000000,0.304348
0.303030,0.357143,0.333333,0.344828,0.333333,0.344828,0.344828,-1.000000,-1.000000,-1.000000,0.384615
0.314286,0.333333,0.304348,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.257143,0.210526,0.210526,0.210526,0.210526,0.210526,0.210526,-1.000000,-1.000000,-1.000000,0.210526
0.225806,0.241379,0.218750,0.285714,0.285714,0.285714,0.285714,-1.000000,-1.000000,-1.000000,0.285714
0.361702,0.369565,0.382353,0.382353,0.382353,0.382353,0.382353,-1.000000,-1.000000,-1.000000,0.382353
0.136364,0.157895,0.157895,0.157895,0.157895,0.157895,0.157895,-1.000000,-1.000000,-1.000000,0.157895
0.354167,0.395349,0.435897,0.459459,0.459459,0.459459,0.459459,-1.000000,-1.000000,-1.000000,0.459459
